start,stop,most_anomalous_start,scores,control_scores,cluster,label
2022-11-03T05:23:20.000000Z,2022-11-03T05:27:30.000000Z,2022-11-03T05:23:20.000000Z,0.6034594155854368,0.4567303495573255,1,
2022-11-02T18:05:50.000000Z,2022-11-02T18:10:50.000000Z,2022-11-02T18:05:50.000000Z,0.6033677987292517,0.4919948496612452,1,
2022-11-03T04:00:50.000000Z,2022-11-03T04:05:00.000000Z,2022-11-03T04:00:50.000000Z,0.6033491428349016,0.4556326442841468,1,
2022-09-25T20:29:26.355000Z,2022-09-25T20:31:06.355000Z,2022-09-25T20:29:26.355000Z,0.6033130346254515,0.5476976038932914,1,N
2022-12-09T01:40:20.390000Z,2022-12-09T01:42:50.390000Z,2022-12-09T01:40:20.390000Z,0.603257709009161,0.4617605959563975,1,
2022-11-15T09:00:18.390000Z,2022-11-15T09:02:48.390000Z,2022-11-15T09:00:18.390000Z,0.6032194197366628,0.5125160815412249,1,
2022-10-13T21:14:05.350000Z,2022-10-13T21:18:15.350000Z,2022-10-13T21:14:05.350000Z,0.6031927297021266,0.4372791366235432,1,
2023-09-15T19:24:19.390000Z,2023-09-15T19:26:49.390000Z,2023-09-15T19:24:19.390000Z,0.6031215798505727,0.4885073793024453,1,
2022-12-09T05:54:30.390000Z,2022-12-09T05:59:30.390000Z,2022-12-09T05:54:30.390000Z,0.603004505876702,0.462897764452015,1,
2022-12-24T23:30:00.000000Z,2022-12-24T23:32:30.000000Z,2022-12-24T23:30:00.000000Z,0.6029265122550519,0.5108270370217611,1,
2023-10-03T00:30:00.000000Z,2023-10-03T00:35:50.000000Z,2023-10-03T00:30:00.000000Z,0.6028809995208035,0.4427120530853201,1,
2023-09-05T12:37:30.000000Z,2023-09-05T12:40:00.000000Z,2023-09-05T12:37:30.000000Z,0.602839959459375,0.5255675936790992,1,
2022-11-09T16:46:40.000000Z,2022-11-09T16:49:10.000000Z,2022-11-09T16:46:40.000000Z,0.6028393691513267,0.4462390093230309,1,
2023-10-13T15:10:50.000000Z,2023-10-13T15:14:10.000000Z,2023-10-13T15:10:50.000000Z,0.6026953021847481,0.5738003583935786,1,
2022-09-02T11:20:19.410000Z,2022-09-02T11:26:09.410000Z,2022-09-02T11:20:19.410000Z,0.6026080213605363,0.5279685312530457,1,
2022-12-24T22:30:50.000000Z,2022-12-24T22:35:50.000000Z,2022-12-24T22:30:50.000000Z,0.6021764518175732,0.5438890844097426,1,
2023-08-21T10:03:20.000000Z,2023-08-21T10:05:50.000000Z,2023-08-21T10:03:20.000000Z,0.6021559897855749,0.487359992935124,1,
2022-09-25T21:59:16.425000Z,2022-09-25T22:05:56.425000Z,2022-09-25T21:59:16.425000Z,0.6020257878673403,0.563780565866124,1,
2022-12-14T21:15:00.000000Z,2022-12-14T21:17:30.000000Z,2022-12-14T21:15:00.000000Z,0.6017928252327953,0.48431229373085,1,
2023-10-14T01:04:10.000000Z,2023-10-14T01:06:40.000000Z,2023-10-14T01:04:10.000000Z,0.6017272586489798,0.5565075410918644,1,
2022-09-02T11:27:49.410000Z,2022-09-02T11:33:39.410000Z,2022-09-02T11:27:49.410000Z,0.6016674938815533,0.5432044645637103,1,
2023-09-22T15:16:45.410000Z,2023-09-22T15:22:35.410000Z,2023-09-22T15:16:45.410000Z,0.6014831492961649,0.4531220325461655,1,
2022-12-07T06:43:20.000000Z,2022-12-07T06:49:10.000000Z,2022-12-07T06:43:20.000000Z,0.601299302386496,0.5463734324157588,1,
2022-12-07T05:01:40.000000Z,2022-12-07T05:04:10.000000Z,2022-12-07T05:01:40.000000Z,0.6012720804946653,0.5521949845346301,1,
2023-08-21T09:47:30.000000Z,2023-08-21T09:51:40.000000Z,2023-08-21T09:47:30.000000Z,0.6009679743774575,0.50731340944651,1,
2023-09-15T16:36:49.390000Z,2023-09-15T16:42:39.390000Z,2023-09-15T16:36:49.390000Z,0.6008156872724115,0.4812209204894762,1,
2022-12-08T02:07:30.000000Z,2022-12-08T02:13:20.000000Z,2022-12-08T02:07:30.000000Z,0.6008019264989531,0.4891365574654015,1,
2022-09-26T00:57:29.380000Z,2022-09-26T01:01:39.380000Z,2022-09-26T00:57:29.380000Z,0.6007137964756206,0.5196423665454664,1,N
2023-10-13T09:01:40.000000Z,2023-10-13T09:03:20.000000Z,2023-10-13T09:01:40.000000Z,0.6006016631610475,0.4722038589356119,1,N
2022-12-24T10:10:00.000000Z,2022-12-24T10:14:10.000000Z,2022-12-24T10:10:00.000000Z,0.6005976783254146,0.51571201605464,1,
2022-12-15T12:59:10.000000Z,2022-12-15T13:03:20.000000Z,2022-12-15T12:59:10.000000Z,0.6005292247617244,0.5296425121000089,1,
2022-12-24T15:08:20.000000Z,2022-12-24T15:15:00.000000Z,2022-12-24T15:09:10.000000Z,0.6004871720789501,0.5415251252164378,1,
2022-12-09T20:21:10.390000Z,2022-12-09T20:27:00.390000Z,2022-12-09T20:21:10.390000Z,0.6002359561671163,0.4919389185325736,1,
2023-10-01T07:38:20.390000Z,2023-10-01T07:40:50.390000Z,2023-10-01T07:38:20.390000Z,0.6001339432197398,0.4042847750323614,1,
2022-11-13T01:53:49.420000Z,2022-11-13T01:56:19.420000Z,2022-11-13T01:53:49.420000Z,0.6000825410155832,0.4940141665501698,1,
