,station,start,stop,confidence
176,ILL13,2021-07-13 16:10:00+00:00,2021-07-13 18:07:00+00:00,1
177,ILL13,2021-07-16 03:53:00+00:00,2021-07-16 05:00:00+00:00,1
178,ILL13,2021-08-07 14:23:00+00:00,2021-08-07 15:33:00+00:00,1
179,ILL13,2021-09-19 06:22:00+00:00,2021-09-19 07:36:00+00:00,1
180,ILL13,2021-09-19 08:40:00+00:00,2021-09-19 10:31:00+00:00,0.5
181,ILL14,2018-07-25 16:48:00+00:00,2018-07-25 17:19:00+00:00,0.5
182,ILL14,2018-08-08 17:43:00+00:00,2018-08-08 18:10:00+00:00,1
183,ILL14,2019-06-10 17:11:00+00:00,2019-06-10 18:34:00+00:00,0.5
184,ILL14,2019-06-10 21:42:00+00:00,2019-06-10 23:10:00+00:00,0.1
185,ILL14,2019-06-21 19:26:00+00:00,2019-06-21 20:11:00+00:00,1
186,ILL14,2019-06-21 21:05:00+00:00,2019-06-21 21:05:00+00:00,rockfall
187,ILL14,2019-07-01 17:33:00+00:00,2019-07-01 17:34:00+00:00,earthquake
188,ILL14,2019-07-01 22:53:00+00:00,2019-07-02 00:10:00+00:00,1
189,ILL14,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
190,ILL14,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
191,ILL14,2019-07-02 22:08:00+00:00,2019-07-02 22:45:00+00:00,1
192,ILL14,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
193,ILL14,2019-07-15 03:30:00+00:00,2019-07-15 04:09:00+00:00,0.5
194,ILL14,2019-07-26 17:26:00+00:00,2019-07-26 18:07:00+00:00,1
195,ILL14,2019-08-11 16:43:00+00:00,2019-08-11 17:56:00+00:00,1
196,ILL14,2019-08-20 16:27:00+00:00,2019-08-20 17:39:00+00:00,1
197,ILL14,2020-06-04 14:58:00+00:00,2020-06-04 17:09:00+00:00,1
198,ILL14,2020-06-08 16:41:00+00:00,2020-06-08 17:46:00+00:00,1
199,ILL14,2020-06-17 02:58:00+00:00,2020-06-17 07:00:00+00:00,0.1
200,ILL14,2020-06-29 04:30:00+00:00,2020-06-29 05:31:00+00:00,1
201,ILL14,2020-08-16 20:34:00+00:00,2020-08-16 21:50:00+00:00,1
202,ILL14,2020-08-30 05:18:00+00:00,2020-08-30 06:50:00+00:00,0.1
203,ILL14,2020-08-30 07:35:00+00:00,2020-08-30 08:59:00+00:00,1
204,ILL14,2021-05-21 22:40:00+00:00,2021-05-22 00:38:00+00:00,1
205,ILL14,2021-06-05 07:37:00+00:00,2021-06-05 10:17:00+00:00,1
206,ILL14,2021-06-24 15:13:00+00:00,2021-06-24 16:01:00+00:00,1
207,ILL14,2021-07-06 18:45:00+00:00,2021-07-06 19:28:00+00:00,1
208,ILL14,2021-07-16 03:42:00+00:00,2021-07-16 04:47:00+00:00,1
209,ILL14,2021-08-07 14:12:00+00:00,2021-08-07 15:26:00+00:00,1
210,ILL14,2021-09-19 05:56:00+00:00,2021-09-19 07:41:00+00:00,1
211,ILL15,2018-07-25 16:48:00+00:00,2018-07-25 17:17:00+00:00,0.5
212,ILL15,2018-08-08 17:42:00+00:00,2018-08-08 18:03:00+00:00,1
213,ILL15,2019-07-15 03:29:00+00:00,2019-07-15 03:51:00+00:00,0.5
214,ILL15,2019-07-26 17:26:00+00:00,2019-07-26 18:15:00+00:00,0.5
215,ILL15,2019-08-11 16:54:00+00:00,2019-08-11 18:05:00+00:00,1
216,ILL15,2019-08-20 16:31:00+00:00,2019-08-20 17:39:00+00:00,1
217,ILL15,2020-06-04 15:10:00+00:00,2020-06-04 17:09:00+00:00,1
218,ILL15,2020-06-08 16:40:00+00:00,2020-06-08 17:48:00+00:00,1
219,ILL15,2020-06-17 02:53:00+00:00,2020-06-17 06:59:00+00:00,0.1
220,ILL15,2020-06-29 04:30:00+00:00,2020-06-29 05:32:00+00:00,1
221,ILL15,2020-08-16 21:06:00+00:00,2020-08-16 21:49:00+00:00,1
222,ILL15,2020-08-30 04:49:00+00:00,2020-08-30 07:02:00+00:00,0.1
223,ILL15,2020-08-30 07:29:00+00:00,2020-08-30 09:05:00+00:00,1
224,ILL15,2021-06-24 15:15:00+00:00,2021-06-24 16:02:00+00:00,1
225,ILL15,2021-07-06 18:44:00+00:00,2021-07-06 19:21:00+00:00,1
226,ILL15,2021-08-07 14:15:00+00:00,2021-08-07 15:26:00+00:00,1
227,ILL15,2021-09-19 05:57:00+00:00,2021-09-19 07:40:00+00:00,1
228,ILL16,2018-07-25 16:48:00+00:00,2018-07-25 17:18:00+00:00,0.5
229,ILL16,2018-08-08 17:42:00+00:00,2018-08-08 17:57:00+00:00,1
230,ILL16,2019-06-10 17:05:00+00:00,2019-06-10 18:32:00+00:00,1
231,ILL16,2019-06-21 19:26:00+00:00,2019-06-21 19:53:00+00:00,1
232,ILL16,2019-06-21 21:05:00+00:00,2019-06-21 21:05:00+00:00,rockfall
233,ILL16,2019-07-01 17:33:00+00:00,2019-07-01 17:34:00+00:00,earthquake
234,ILL16,2019-07-01 23:09:00+00:00,2019-07-02 00:08:00+00:00,1
235,ILL16,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
236,ILL16,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
237,ILL16,2019-07-02 21:57:00+00:00,2019-07-02 22:23:00+00:00,1
238,ILL16,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
239,ILL16,2019-07-15 03:29:00+00:00,2019-07-15 03:52:00+00:00,0.5
240,ILL16,2019-07-26 17:26:00+00:00,2019-07-26 18:11:00+00:00,1
241,ILL16,2019-08-11 16:54:00+00:00,2019-08-11 17:58:00+00:00,1
242,ILL16,2019-08-20 16:26:00+00:00,2019-08-20 17:33:00+00:00,0.1
243,ILL16,2020-06-04 14:51:00+00:00,2020-06-04 17:05:00+00:00,1
244,ILL16,2020-06-08 16:33:00+00:00,2020-06-08 17:44:00+00:00,1
245,ILL16,2020-06-17 02:52:00+00:00,2020-06-17 06:53:00+00:00,0.1
246,ILL16,2020-06-29 04:28:00+00:00,2020-06-29 05:26:00+00:00,1
247,ILL16,2020-08-16 21:05:00+00:00,2020-08-16 21:36:00+00:00,1
248,ILL16,2020-08-30 04:56:00+00:00,2020-08-30 06:56:00+00:00,0.1
249,ILL16,2020-08-30 07:26:00+00:00,2020-08-30 08:48:00+00:00,1
250,ILL16,2021-06-24 15:11:00+00:00,2021-06-24 15:58:00+00:00,1
251,ILL16,2021-07-06 18:44:00+00:00,2021-07-06 19:23:00+00:00,1
252,ILL16,2021-07-13 04:17:00+00:00,2021-07-13 07:18:00+00:00,0.5
253,ILL16,2021-07-13 14:37:00+00:00,2021-07-13 17:21:00+00:00,0.5
254,ILL16,2021-07-16 03:36:00+00:00,2021-07-16 04:43:00+00:00,1
255,ILL16,2021-08-07 14:10:00+00:00,2021-08-07 15:26:00+00:00,1
256,ILL16,2021-09-19 05:51:00+00:00,2021-09-19 07:27:00+00:00,1
257,ILL17,2018-06-11 03:54:00+00:00,2018-06-11 14:57:00+00:00,1
258,ILL17,2018-06-12 17:19:00+00:00,2018-06-12 19:52:00+00:00,1
259,ILL17,2018-07-25 16:47:00+00:00,2018-07-25 17:29:00+00:00,1
260,ILL17,2018-08-08 17:42:00+00:00,2018-08-08 17:58:00+00:00,1
261,ILL17,2019-06-10 17:10:00+00:00,2019-06-10 18:31:00+00:00,0.1
262,ILL17,2019-06-10 21:41:00+00:00,2019-06-10 23:00:00+00:00,0.1
263,ILL17,2019-06-21 19:26:00+00:00,2019-06-21 20:16:00+00:00,1
264,ILL17,2019-06-21 21:05:00+00:00,2019-06-21 21:05:00+00:00,rockfall
265,ILL17,2019-07-01 17:33:00+00:00,2019-07-01 17:34:00+00:00,earthquake
266,ILL17,2019-07-01 22:54:00+00:00,2019-07-02 00:07:00+00:00,1
267,ILL17,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
268,ILL17,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
269,ILL17,2019-07-02 22:00:00+00:00,2019-07-02 22:29:00+00:00,1
270,ILL17,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
271,ILL17,2019-07-15 03:29:00+00:00,2019-07-15 03:55:00+00:00,0.5
272,ILL17,2019-07-26 17:26:00+00:00,2019-07-26 18:18:00+00:00,1
273,ILL17,2019-08-11 16:44:00+00:00,2019-08-11 18:03:00+00:00,1
274,ILL17,2019-08-20 16:27:00+00:00,2019-08-20 17:39:00+00:00,1
275,ILL17,2020-06-04 14:52:00+00:00,2020-06-04 17:04:00+00:00,1
276,ILL17,2020-06-08 16:24:00+00:00,2020-06-08 17:18:00+00:00,1
277,ILL17,2020-06-17 02:55:00+00:00,2020-06-17 06:28:00+00:00,0.1
278,ILL17,2020-06-29 04:29:00+00:00,2020-06-29 05:28:00+00:00,1
279,ILL17,2020-08-16 21:09:00+00:00,2020-08-16 21:48:00+00:00,1
280,ILL17,2020-08-30 04:46:00+00:00,2020-08-30 06:49:00+00:00,0.5
281,ILL17,2020-08-30 07:25:00+00:00,2020-08-30 08:41:00+00:00,1
282,ILL17,2021-05-21 22:40:00+00:00,2021-05-22 00:38:00+00:00,1
283,ILL17,2021-06-05 08:17:00+00:00,2021-06-05 10:45:00+00:00,1
284,ILL17,2021-06-24 15:13:00+00:00,2021-06-24 16:01:00+00:00,1
285,ILL17,2021-07-06 18:44:00+00:00,2021-07-06 19:30:00+00:00,1
