,station,channel,start,stop,confidence,Notes
83,ILL12,EHZ,2019-07-03 16:45:20+00:00,2019-07-03 17:40:30+00:00,med,
84,ILL11,EHZ,2019-07-03 18:05:20+00:00,2019-07-03 18:50:30+00:00,low,
85,ILL11,HHZ,2019-07-15 04:07:30+00:00,2019-07-15 04:54:00+00:00,high,
86,ILL12,EHZ,2019-07-15 03:40:00+00:00,2019-07-15 04:15:00+00:00,high,
87,ILL13,EHZ,2019-07-15 03:52:00+00:00,2019-07-15 04:43:00+00:00,high,
88,ILL14,EHZ,2019-07-15 03:30:00+00:00,2019-07-15 04:09:00+00:00,med,
89,ILL15,EHZ,2019-07-15 03:29:00+00:00,2019-07-15 03:51:00+00:00,med,
90,ILL16,EHZ,2019-07-15 03:29:00+00:00,2019-07-15 03:52:00+00:00,med,
91,ILL17,EHZ,2019-07-15 03:29:00+00:00,2019-07-15 03:55:00+00:00,med,
92,ILL18,EHZ,2019-07-15 03:29:00+00:00,2019-07-15 03:58:00+00:00,high,
93,ILL11,HHZ,2019-07-26 17:44:00+00:00,2019-07-26 18:36:00+00:00,high,
94,ILL12,EHZ,2019-07-26 17:33:00+00:00,2019-07-26 18:32:00+00:00,high,
95,ILL13,EHZ,2019-07-26 17:35:00+00:00,2019-07-26 18:41:00+00:00,high,
96,ILL14,EHZ,2019-07-26 17:26:00+00:00,2019-07-26 18:07:00+00:00,high,
97,ILL15,EHZ,2019-07-26 17:26:00+00:00,2019-07-26 18:15:00+00:00,med,
98,ILL16,EHZ,2019-07-26 17:26:00+00:00,2019-07-26 18:11:00+00:00,high,
99,ILL17,EHZ,2019-07-26 17:26:00+00:00,2019-07-26 18:18:00+00:00,high,
100,ILL18,EHZ,2019-07-26 17:25:00+00:00,2019-07-26 18:10:00+00:00,high,
101,ILL11,HHZ,2019-07-26 19:08:20+00:00,2019-07-26 19:10:00+00:00,low,Post debris-flow detection
102,ILL11,HHZ,2019-08-11 17:05:00+00:00,2019-08-11 18:15:00+00:00,high,
103,ILL12,EHZ,2019-08-11 16:54:00+00:00,2019-08-11 17:45:00+00:00,high,
104,ILL13,EHZ,2019-08-11 16:59:00+00:00,2019-08-11 18:13:00+00:00,high,
105,ILL14,EHZ,2019-08-11 16:43:00+00:00,2019-08-11 17:56:00+00:00,high,
106,ILL15,EHZ,2019-08-11 16:54:00+00:00,2019-08-11 18:05:00+00:00,high,
107,ILL16,EHZ,2019-08-11 16:54:00+00:00,2019-08-11 17:58:00+00:00,high,
108,ILL17,EHZ,2019-08-11 16:44:00+00:00,2019-08-11 18:03:00+00:00,high,
109,ILL18,EHZ,2019-08-11 16:47:00+00:00,2019-08-11 17:28:00+00:00,high,
110,ILL11,HHZ,2019-08-20 16:53:00+00:00,2019-08-20 17:49:00+00:00,high,
111,ILL12,EHZ,2019-08-20 16:41:00+00:00,2019-08-20 17:24:00+00:00,high,
112,ILL13,EHZ,2019-08-20 16:39:00+00:00,2019-08-20 17:40:00+00:00,high,
113,ILL14,EHZ,2019-08-20 16:27:00+00:00,2019-08-20 17:39:00+00:00,high,
114,ILL15,EHZ,2019-08-20 16:31:00+00:00,2019-08-20 17:39:00+00:00,high,
115,ILL16,EHZ,2019-08-20 16:26:00+00:00,2019-08-20 17:33:00+00:00,low,
116,ILL17,EHZ,2019-08-20 16:27:00+00:00,2019-08-20 17:39:00+00:00,high,
117,ILL18,EHZ,2019-08-20 16:33:00+00:00,2019-08-20 17:23:00+00:00,high,
118,ILL11,HHZ,2019-08-20 17:55:00+00:00,2019-08-20 17:56:40+00:00,low,Post debris-flow detection
119,ILL11,HHZ,2019-10-06 21:53:40+00:00,2019-10-07 02:00:00+00:00,low,"This is the beginning of a torrential event. Very faint signal at first, but growing stronger over the following hour. Not sure if debris flow or just a flood, so I would attach a confidence score of something like 0.3 (from 0.1 to 1.0)"
120,ILL12,EHZ,2019-10-06 21:53:40+00:00,2019-10-07 01:00:00+00:00,low,"See above,something also visible at ILL12, I made the end time a bit shorter. FK."
121,ILL13,EHZ,2019-10-06 21:53:40+00:00,2019-10-07 01:00:00+00:00,low,"See above,something also visible at ILL13, but the amplitude is small compared to ILL11,12. FK."
122,ILL11,EHZ,2019-10-09 12:09:10+00:00,2019-10-09 13:12:30+00:00,high,"Visible on ILL11,ILL12,ILL13. Potentially a Sagenschleif event."
123,ILL12,EHZ,2019-10-09 12:09:10+00:00,2019-10-09 13:12:30+00:00,high,"Visible on ILL11,ILL12,ILL13. Potentially a Sagenschleif event."
124,ILL13,EHZ,2019-10-09 12:09:10+00:00,2019-10-09 13:12:30+00:00,high,"Visible on ILL11,ILL12,ILL13. Potentially a Sagenschleif event."
125,ILL11,HHZ,2019-10-15 16:30:00+00:00,2019-10-15 17:53:00+00:00,high,
126,ILL12,EHZ,2019-10-15 16:11:00+00:00,2019-10-15 17:05:00+00:00,high,
127,ILL13,EHZ,2019-10-15 16:23:00+00:00,2019-10-15 17:12:00+00:00,high,
128,ILL14,EHZ,2019-10-15 15:48:00+00:00,2019-10-15 16:58:00+00:00,med,
129,ILL15,EHZ,2019-10-15 15:49:00+00:00,2019-10-15 16:32:00+00:00,low,
130,ILL16,EHZ,2019-10-15 15:50:00+00:00,2019-10-15 16:20:00+00:00,med,
131,ILL17,EHZ,2019-10-15 15:50:00+00:00,2019-10-15 16:30:00+00:00,med,
132,ILL18,EHZ,2020-02-11 05:09:36+00:00,2020-02-11 05:32:56+00:00,low,"Could be very weak signals of catchment activity. Bus since no other station was operational, extremely unclear."
133,ILL18,EHZ,2020-02-27 18:50:40+00:00,2020-02-27 20:24:33+00:00,low,"Could be a debris flow like signal, but untypical (winter). Only ILL18 was running, so highly uncertain."
134,ILL18,EHZ,2020-04-28 16:35:00+00:00,2020-04-28 19:22:00+00:00,med,
135,ILL18,EHZ,2020-05-01 15:36:40+00:00,2020-05-01 16:15:00+00:00,low,slope activity
136,ILL18,EHZ,2020-05-02 18:56:40+00:00,2020-05-02 19:16:40+00:00,low,slope activity
137,ILL18,EHZ,2020-05-10 02:01:00+00:00,2020-05-10 05:16:00+00:00,high,
138,ILL11,HHZ,2020-06-04 15:27:00+00:00,2020-06-04 17:23:00+00:00,high,
139,ILL12,EHZ,2020-06-04 15:09:00+00:00,2020-06-04 17:11:00+00:00,high,
140,ILL13,EHZ,2020-06-04 15:13:00+00:00,2020-06-04 17:12:00+00:00,high,
141,ILL14,EHZ,2020-06-04 14:58:00+00:00,2020-06-04 17:09:00+00:00,high,
142,ILL15,EHZ,2020-06-04 15:10:00+00:00,2020-06-04 17:09:00+00:00,high,
143,ILL16,EHZ,2020-06-04 14:51:00+00:00,2020-06-04 17:05:00+00:00,high,
144,ILL17,EHZ,2020-06-04 14:52:00+00:00,2020-06-04 17:04:00+00:00,high,
145,ILL18,EHZ,2020-06-04 15:02:00+00:00,2020-06-04 17:04:00+00:00,high,
146,ILL11,EHZ,2020-06-07 09:00:44+00:00,2020-06-07 09:58:14+00:00,high,
147,ILL12,EHZ,2020-06-07 07:59:10+00:00,2020-06-07 08:47:30+00:00,high,
148,ILL13,EHZ,2020-06-07 08:11:44+00:00,2020-06-07 09:37:34+00:00,high,
149,ILL16,EHZ,2020-06-07 07:15:20+00:00,2020-06-07 09:45:10+00:00,high,
150,ILL17,EHZ,2020-06-07 07:15:20+00:00,2020-06-07 09:45:10+00:00,high,
151,ILL18,EHZ,2020-06-07 07:10:03+00:00,2020-06-07 09:45:43+00:00,high,
152,ILL11,HHZ,2020-06-08 15:43:00+00:00,2020-06-08 16:01:00+00:00,high,
153,ILL12,EHZ,2020-06-08 14:05:00+00:00,2020-06-08 14:35:00+00:00,high,
154,ILL13,EHZ,2020-06-08 14:50:00+00:00,2020-06-08 15:15:00+00:00,high,
155,ILL14,EHZ,2020-06-08 13:47:00+00:00,2020-06-08 14:40:00+00:00,low,
156,ILL16,EHZ,2020-06-08 13:35:00+00:00,2020-06-08 14:10:00+00:00,low,
157,ILL17,EHZ,2020-06-08 13:33:00+00:00,2020-06-08 14:36:00+00:00,med,
158,ILL18,EHZ,2020-06-08 13:37:00+00:00,2020-06-08 14:24:00+00:00,high,
159,ILL11,HHZ,2020-06-08 17:20:50+00:00,2020-06-08 17:38:20+00:00,low,Pre debris-flow detection
160,ILL11,HHZ,2020-06-08 17:44:20+00:00,2020-06-08 18:47:20+00:00,high,
161,ILL12,EHZ,2020-06-08 16:53:00+00:00,2020-06-08 17:40:00+00:00,high,
162,ILL13,EHZ,2020-06-08 17:17:00+00:00,2020-06-08 18:45:00+00:00,high,
163,ILL14,EHZ,2020-06-08 16:32:00+00:00,2020-06-08 17:35:00+00:00,med,
164,ILL15,EHZ,2020-06-08 16:32:00+00:00,2020-06-08 17:35:00+00:00,low,
165,ILL16,EHZ,2020-06-08 16:26:00+00:00,2020-06-08 17:33:00+00:00,low,
166,ILL17,EHZ,2020-06-08 16:23:00+00:00,2020-06-08 17:43:00+00:00,low,
167,ILL18,EHZ,2020-06-08 16:36:00+00:00,2020-06-08 17:33:00+00:00,high,
168,ILL18,EHZ,2020-06-10 20:10:35+00:00,2020-06-10 20:59:50+00:00,low,"Could be rockfall signals,but not a debris flow"
169,ILL12,EHZ,2020-06-16 22:55:00+00:00,2020-06-17 00:09:02+00:00,low,Pre debris flow detection to the flow in the morning of 2020-06-17. This event and the following main event seem to have come down from Sagenschleif.
170,ILL11,EHZ,2020-06-17 00:58:43+00:00,2020-06-17 01:17:03+00:00,low,"There is a very weak signal. I would not have picked it as a torrential event, but since there is a nice debris flow signal starting at around 3:00, this is likely real. However, it is so weak that I would classify it as 0.1 or 0.5."
171,ILL17,EHZ,2020-06-17 01:05:19+00:00,2020-06-17 01:11:59+00:00,low,This looks like a slope failure in the upper catchment
172,ILL18,EHZ,2020-06-17 01:05:53+00:00,2020-06-17 01:20:03+00:00,med,"Nothing on ILL11,ILL13"
173,ILL12,EHZ,2020-06-17 01:48:22+00:00,2020-06-17 02:41:42+00:00,med,
174,ILL11,HHZ,2020-06-17 03:45:00+00:00,2020-06-17 06:11:00+00:00,high,
175,ILL12,EHZ,2020-06-17 03:18:00+00:00,2020-06-17 05:34:00+00:00,high,
176,ILL13,EHZ,2020-06-17 03:40:00+00:00,2020-06-17 07:00:00+00:00,high,
177,ILL14,EHZ,2020-06-17 02:58:00+00:00,2020-06-17 07:00:00+00:00,low,
178,ILL15,EHZ,2020-06-17 02:53:00+00:00,2020-06-17 06:59:00+00:00,low,
179,ILL16,EHZ,2020-06-17 02:52:00+00:00,2020-06-17 06:53:00+00:00,low,
180,ILL17,EHZ,2020-06-17 02:55:00+00:00,2020-06-17 06:28:00+00:00,low,
181,ILL18,EHZ,2020-06-17 02:59:00+00:00,2020-06-17 06:16:00+00:00,low,
182,ILL14,EHZ,2020-06-17 18:13:39+00:00,2020-06-17 18:16:59+00:00,low,"This is a ca 2 minute long signal of a mass movement, likely on the Southern Illgraben canyon wall as it is best recorded on ILL14"
183,ILL14,EHZ,2020-06-21 07:21:09+00:00,2020-06-21 07:25:19+00:00,low,"This is a ca 2 minute long signal of a mass movement, likely on the Southern Illgraben canyon wall as it is best recorded on ILL14."
184,ILL11,HHZ,2020-06-29 05:14:00+00:00,2020-06-29 06:13:00+00:00,high,
185,ILL12,EHZ,2020-06-29 04:55:00+00:00,2020-06-29 05:30:00+00:00,high,
186,ILL13,EHZ,2020-06-29 05:13:00+00:00,2020-06-29 06:08:00+00:00,high,
187,ILL14,EHZ,2020-06-29 04:30:00+00:00,2020-06-29 05:31:00+00:00,high,
188,ILL15,EHZ,2020-06-29 04:30:00+00:00,2020-06-29 05:32:00+00:00,high,
189,ILL16,EHZ,2020-06-29 04:28:00+00:00,2020-06-29 05:26:00+00:00,high,
190,ILL17,EHZ,2020-06-29 04:29:00+00:00,2020-06-29 05:28:00+00:00,high,
191,ILL18,EHZ,2020-06-29 04:30:00+00:00,2020-06-29 05:28:00+00:00,high,
192,ILL12,EHZ,2020-07-28 16:50:13+00:00,2020-07-28 18:20:23+00:00,high,Stopped before ILL11
193,ILL13,EHZ,2020-07-28 16:50:13+00:00,2020-07-28 18:20:23+00:00,high,
194,ILL16,EHZ,2020-07-28 16:30:51+00:00,2020-07-28 16:59:11+00:00,high,
195,ILL17,EHZ,2020-07-28 16:30:50+00:00,2020-07-28 17:00:00+00:00,high,
196,ILL18,EHZ,2020-07-28 16:32:30+00:00,2020-07-28 17:23:20+00:00,high,
197,ILL11,HHZ,2020-08-16 22:02:00+00:00,2020-08-16 23:56:00+00:00,high,
198,ILL12,EHZ,2020-08-16 21:29:00+00:00,2020-08-16 22:32:00+00:00,high,
199,ILL13,EHZ,2020-08-16 21:37:00+00:00,2020-08-16 23:10:00+00:00,high,
200,ILL14,EHZ,2020-08-16 20:34:00+00:00,2020-08-16 21:50:00+00:00,high,
