,station,channel,start,stop,confidence,Notes
171,ILL12,EHZ,2020-06-08T16:53:00.000000Z,2020-06-08T17:40:00.000000Z,high,
172,ILL13,EHZ,2020-06-08T17:17:00.000000Z,2020-06-08T18:45:00.000000Z,high,
173,ILL11,HHZ,2020-06-08T17:20:50.000000Z,2020-06-08T17:38:20.000000Z,low,Pre debris-flow detection
174,ILL11,HHZ,2020-06-08T17:44:20.000000Z,2020-06-08T18:47:20.000000Z,high,
175,ILL18,EHZ,2020-06-10T20:10:35.000000Z,2020-06-10T20:59:50.000000Z,low,"Could be rockfall signals,but not a debris flow"
176,ILL12,EHZ,2020-06-16T22:55:00.000000Z,2020-06-17T00:09:02.000000Z,low,Pre debris flow detection to the flow in the morning of 2020-06-17. This event and the following main event seem to have come down from Sagenschleif.
177,ILL11,EHZ,2020-06-17T00:58:43.000000Z,2020-06-17T01:17:03.000000Z,low,"There is a very weak signal. I would not have picked it as a torrential event, but since there is a nice debris flow signal starting at around 3:00, this is likely real. However, it is so weak that I would classify it as 0.1 or 0.5."
178,ILL17,EHZ,2020-06-17T01:05:19.000000Z,2020-06-17T01:11:59.000000Z,low,This looks like a slope failure in the upper catchment
179,ILL18,EHZ,2020-06-17T01:05:53.000000Z,2020-06-17T01:20:03.000000Z,med,"Nothing on ILL11,ILL13"
180,ILL12,EHZ,2020-06-17T01:48:22.000000Z,2020-06-17T02:41:42.000000Z,med,
181,ILL16,EHZ,2020-06-17T02:52:00.000000Z,2020-06-17T06:53:00.000000Z,low,
182,ILL15,EHZ,2020-06-17T02:53:00.000000Z,2020-06-17T06:59:00.000000Z,low,
183,ILL17,EHZ,2020-06-17T02:55:00.000000Z,2020-06-17T06:28:00.000000Z,low,
184,ILL14,EHZ,2020-06-17T02:58:00.000000Z,2020-06-17T07:00:00.000000Z,low,
185,ILL18,EHZ,2020-06-17T02:59:00.000000Z,2020-06-17T06:16:00.000000Z,low,
186,ILL12,EHZ,2020-06-17T03:18:00.000000Z,2020-06-17T05:34:00.000000Z,high,
187,ILL13,EHZ,2020-06-17T03:40:00.000000Z,2020-06-17T07:00:00.000000Z,high,
188,ILL11,HHZ,2020-06-17T03:45:00.000000Z,2020-06-17T06:11:00.000000Z,high,
189,ILL14,EHZ,2020-06-17T18:13:39.000000Z,2020-06-17T18:16:59.000000Z,low,"This is a ca 2 minute long signal of a mass movement, likely on the Southern Illgraben canyon wall as it is best recorded on ILL14"
190,ILL14,EHZ,2020-06-21T07:21:09.000000Z,2020-06-21T07:25:19.000000Z,low,"This is a ca 2 minute long signal of a mass movement, likely on the Southern Illgraben canyon wall as it is best recorded on ILL14."
191,ILL16,EHZ,2020-06-29T04:28:00.000000Z,2020-06-29T05:26:00.000000Z,high,
192,ILL17,EHZ,2020-06-29T04:29:00.000000Z,2020-06-29T05:28:00.000000Z,high,
193,ILL15,EHZ,2020-06-29T04:30:00.000000Z,2020-06-29T05:32:00.000000Z,high,
194,ILL18,EHZ,2020-06-29T04:30:00.000000Z,2020-06-29T05:28:00.000000Z,high,
195,ILL14,EHZ,2020-06-29T04:30:00.000000Z,2020-06-29T05:31:00.000000Z,high,
196,ILL12,EHZ,2020-06-29T04:55:00.000000Z,2020-06-29T05:30:00.000000Z,high,
197,ILL13,EHZ,2020-06-29T05:13:00.000000Z,2020-06-29T06:08:00.000000Z,high,
198,ILL11,HHZ,2020-06-29T05:14:00.000000Z,2020-06-29T06:13:00.000000Z,high,
199,ILL17,EHZ,2020-07-28T16:30:50.000000Z,2020-07-28T17:00:00.000000Z,high,
200,ILL16,EHZ,2020-07-28T16:30:51.000000Z,2020-07-28T16:59:11.000000Z,high,
201,ILL18,EHZ,2020-07-28T16:32:30.000000Z,2020-07-28T17:23:20.000000Z,high,
202,ILL12,EHZ,2020-07-28T16:50:13.000000Z,2020-07-28T18:20:23.000000Z,high,Stopped before ILL11
203,ILL13,EHZ,2020-07-28T16:50:13.000000Z,2020-07-28T18:20:23.000000Z,high,
204,ILL14,EHZ,2020-08-16T20:34:00.000000Z,2020-08-16T21:50:00.000000Z,high,
205,ILL16,EHZ,2020-08-16T21:05:00.000000Z,2020-08-16T21:36:00.000000Z,high,
206,ILL15,EHZ,2020-08-16T21:06:00.000000Z,2020-08-16T21:49:00.000000Z,high,
207,ILL18,EHZ,2020-08-16T21:07:00.000000Z,2020-08-16T21:52:00.000000Z,high,
208,ILL17,EHZ,2020-08-16T21:09:00.000000Z,2020-08-16T21:48:00.000000Z,high,
