station,start,stop,confidence
ILL12,2021-06-24 15:18:00+00:00,2021-06-24 16:08:00+00:00,high
ILL12,2021-07-06 18:48:00+00:00,2021-07-06 19:27:00+00:00,high
ILL12,2021-07-13 05:45:00+00:00,2021-07-13 07:45:00+00:00,high
ILL12,2021-07-13 16:01:00+00:00,2021-07-13 18:02:00+00:00,high
ILL12,2021-07-16 03:43:00+00:00,2021-07-16 04:54:00+00:00,high
ILL12,2021-09-19 06:23:00+00:00,2021-09-19 07:28:00+00:00,high
ILL12,2021-09-19 08:39:00+00:00,2021-09-19 10:25:00+00:00,med
ILL13,2018-06-11 03:06:00+00:00,2018-06-11 15:42:00+00:00,high
ILL13,2018-07-25 16:53:00+00:00,2018-07-25 17:41:00+00:00,high
ILL13,2018-08-08 17:49:00+00:00,2018-08-08 18:20:00+00:00,high
ILL13,2019-06-10 17:32:00+00:00,2019-06-10 19:10:00+00:00,high
ILL13,2019-06-10 22:05:00+00:00,2019-06-11 00:17:00+00:00,high
ILL13,2019-06-21 19:31:00+00:00,2019-06-21 20:40:00+00:00,high
ILL13,2019-07-01 17:33:00+00:00,2019-07-01 17:33:00+00:00,earthquake
ILL13,2019-07-01 23:19:00+00:00,2019-07-02 00:26:00+00:00,high
ILL13,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
ILL13,2019-07-02 05:39:00+00:00,2019-07-02 09:59:00+00:00,quarrywork
ILL13,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
ILL13,2019-07-02 10:38:00+00:00,2019-07-02 14:39:00+00:00,quarrywork
ILL13,2019-07-02 22:18:00+00:00,2019-07-02 23:11:00+00:00,high
ILL13,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
ILL13,2019-07-15 03:52:00+00:00,2019-07-15 04:43:00+00:00,high
ILL13,2019-07-26 17:35:00+00:00,2019-07-26 18:41:00+00:00,high
ILL13,2019-08-11 16:59:00+00:00,2019-08-11 18:13:00+00:00,high
ILL13,2019-08-20 16:39:00+00:00,2019-08-20 17:40:00+00:00,high
ILL13,2020-06-04 15:13:00+00:00,2020-06-04 17:12:00+00:00,high
ILL13,2020-06-08 17:03:00+00:00,2020-06-08 18:42:00+00:00,high
ILL13,2020-06-17 03:40:00+00:00,2020-06-17 07:00:00+00:00,high
ILL13,2020-06-29 05:13:00+00:00,2020-06-29 06:08:00+00:00,high
ILL13,2020-08-16 21:37:00+00:00,2020-08-16 23:10:00+00:00,high
ILL13,2020-08-30 05:30:00+00:00,2020-08-30 07:25:00+00:00,high
ILL13,2020-08-30 07:53:00+00:00,2020-08-30 09:01:00+00:00,high
ILL13,2021-05-11 03:25:00+00:00,2021-05-11 13:52:00+00:00,med
ILL13,2021-05-11 14:09:00+00:00,2021-05-11 16:38:00+00:00,high
ILL13,2021-05-12 02:59:00+00:00,2021-05-12 09:34:00+00:00,low
ILL13,2021-05-16 16:15:00+00:00,2021-05-16 20:10:00+00:00,high
ILL13,2021-05-21 22:49:00+00:00,2021-05-22 00:28:00+00:00,high
ILL13,2021-06-05 09:32:00+00:00,2021-06-05 11:48:00+00:00,high
ILL13,2021-06-24 15:15:00+00:00,2021-06-24 16:22:00+00:00,high
ILL13,2021-07-06 18:52:00+00:00,2021-07-06 19:37:00+00:00,high
ILL13,2021-07-13 06:31:00+00:00,2021-07-13 08:51:00+00:00,high
ILL13,2021-07-13 16:10:00+00:00,2021-07-13 18:07:00+00:00,high
ILL13,2021-07-16 03:53:00+00:00,2021-07-16 05:00:00+00:00,high
ILL13,2021-08-07 14:23:00+00:00,2021-08-07 15:33:00+00:00,high
ILL13,2021-09-19 06:22:00+00:00,2021-09-19 07:36:00+00:00,high
ILL13,2021-09-19 08:40:00+00:00,2021-09-19 10:31:00+00:00,med
ILL14,2018-07-25 16:48:00+00:00,2018-07-25 17:19:00+00:00,med
ILL14,2018-08-08 17:43:00+00:00,2018-08-08 18:10:00+00:00,high
ILL14,2019-06-10 17:11:00+00:00,2019-06-10 18:34:00+00:00,med
ILL14,2019-06-10 21:42:00+00:00,2019-06-10 23:10:00+00:00,low
ILL14,2019-06-21 19:26:00+00:00,2019-06-21 20:11:00+00:00,high
ILL14,2019-06-21 21:05:00+00:00,2019-06-21 21:05:00+00:00,rockfall
ILL14,2019-07-01 17:33:00+00:00,2019-07-01 17:34:00+00:00,earthquake
ILL14,2019-07-01 22:53:00+00:00,2019-07-02 00:10:00+00:00,high
ILL14,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
ILL14,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
ILL14,2019-07-02 22:08:00+00:00,2019-07-02 22:45:00+00:00,high
ILL14,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
ILL14,2019-07-15 03:30:00+00:00,2019-07-15 04:09:00+00:00,med
ILL14,2019-07-26 17:26:00+00:00,2019-07-26 18:07:00+00:00,high
ILL14,2019-08-11 16:43:00+00:00,2019-08-11 17:56:00+00:00,high
ILL14,2019-08-20 16:27:00+00:00,2019-08-20 17:39:00+00:00,high
ILL14,2020-06-04 14:58:00+00:00,2020-06-04 17:09:00+00:00,high
ILL14,2020-06-08 16:41:00+00:00,2020-06-08 17:46:00+00:00,high
ILL14,2020-06-17 02:58:00+00:00,2020-06-17 07:00:00+00:00,low
ILL14,2020-06-29 04:30:00+00:00,2020-06-29 05:31:00+00:00,high
ILL14,2020-08-16 20:34:00+00:00,2020-08-16 21:50:00+00:00,high
ILL14,2020-08-30 05:18:00+00:00,2020-08-30 06:50:00+00:00,low
ILL14,2020-08-30 07:35:00+00:00,2020-08-30 08:59:00+00:00,high
ILL14,2021-05-21 22:40:00+00:00,2021-05-22 00:38:00+00:00,high
ILL14,2021-06-05 07:37:00+00:00,2021-06-05 10:17:00+00:00,high
ILL14,2021-06-24 15:13:00+00:00,2021-06-24 16:01:00+00:00,high
ILL14,2021-07-06 18:45:00+00:00,2021-07-06 19:28:00+00:00,high
ILL14,2021-07-16 03:42:00+00:00,2021-07-16 04:47:00+00:00,high
ILL14,2021-08-07 14:12:00+00:00,2021-08-07 15:26:00+00:00,high
ILL14,2021-09-19 05:56:00+00:00,2021-09-19 07:41:00+00:00,high
ILL15,2018-07-25 16:48:00+00:00,2018-07-25 17:17:00+00:00,med
ILL15,2018-08-08 17:42:00+00:00,2018-08-08 18:03:00+00:00,high
ILL15,2019-07-15 03:29:00+00:00,2019-07-15 03:51:00+00:00,med
ILL15,2019-07-26 17:26:00+00:00,2019-07-26 18:15:00+00:00,med
ILL15,2019-08-11 16:54:00+00:00,2019-08-11 18:05:00+00:00,high
ILL15,2019-08-20 16:31:00+00:00,2019-08-20 17:39:00+00:00,high
ILL15,2020-06-04 15:10:00+00:00,2020-06-04 17:09:00+00:00,high
ILL15,2020-06-08 16:40:00+00:00,2020-06-08 17:48:00+00:00,high
ILL15,2020-06-17 02:53:00+00:00,2020-06-17 06:59:00+00:00,low
ILL15,2020-06-29 04:30:00+00:00,2020-06-29 05:32:00+00:00,high
ILL15,2020-08-16 21:06:00+00:00,2020-08-16 21:49:00+00:00,high
ILL15,2020-08-30 04:49:00+00:00,2020-08-30 07:02:00+00:00,low
ILL15,2020-08-30 07:29:00+00:00,2020-08-30 09:05:00+00:00,high
ILL15,2021-06-24 15:15:00+00:00,2021-06-24 16:02:00+00:00,high
ILL15,2021-07-06 18:44:00+00:00,2021-07-06 19:21:00+00:00,high
ILL15,2021-08-07 14:15:00+00:00,2021-08-07 15:26:00+00:00,high
ILL15,2021-09-19 05:57:00+00:00,2021-09-19 07:40:00+00:00,high
ILL16,2018-07-25 16:48:00+00:00,2018-07-25 17:18:00+00:00,med
ILL16,2018-08-08 17:42:00+00:00,2018-08-08 17:57:00+00:00,high
ILL16,2019-06-10 17:05:00+00:00,2019-06-10 18:32:00+00:00,high
ILL16,2019-06-21 19:26:00+00:00,2019-06-21 19:53:00+00:00,high
ILL16,2019-06-21 21:05:00+00:00,2019-06-21 21:05:00+00:00,rockfall
ILL16,2019-07-01 17:33:00+00:00,2019-07-01 17:34:00+00:00,earthquake
ILL16,2019-07-01 23:09:00+00:00,2019-07-02 00:08:00+00:00,high
ILL16,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
ILL16,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
ILL16,2019-07-02 21:57:00+00:00,2019-07-02 22:23:00+00:00,high
ILL16,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
ILL16,2019-07-15 03:29:00+00:00,2019-07-15 03:52:00+00:00,med
ILL16,2019-07-26 17:26:00+00:00,2019-07-26 18:11:00+00:00,high
ILL16,2019-08-11 16:54:00+00:00,2019-08-11 17:58:00+00:00,high
ILL16,2019-08-20 16:26:00+00:00,2019-08-20 17:33:00+00:00,low
ILL16,2020-06-04 14:51:00+00:00,2020-06-04 17:05:00+00:00,high
ILL16,2020-06-08 16:33:00+00:00,2020-06-08 17:44:00+00:00,high
ILL16,2020-06-17 02:52:00+00:00,2020-06-17 06:53:00+00:00,low
ILL16,2020-06-29 04:28:00+00:00,2020-06-29 05:26:00+00:00,high
ILL16,2020-08-16 21:05:00+00:00,2020-08-16 21:36:00+00:00,high
ILL16,2020-08-30 04:56:00+00:00,2020-08-30 06:56:00+00:00,low
ILL16,2020-08-30 07:26:00+00:00,2020-08-30 08:48:00+00:00,high
ILL16,2021-06-24 15:11:00+00:00,2021-06-24 15:58:00+00:00,high
ILL16,2021-07-06 18:44:00+00:00,2021-07-06 19:23:00+00:00,high
ILL16,2021-07-13 04:17:00+00:00,2021-07-13 07:18:00+00:00,med
ILL16,2021-07-13 14:37:00+00:00,2021-07-13 17:21:00+00:00,med
ILL16,2021-07-16 03:36:00+00:00,2021-07-16 04:43:00+00:00,high
ILL16,2021-08-07 14:10:00+00:00,2021-08-07 15:26:00+00:00,high
ILL16,2021-09-19 05:51:00+00:00,2021-09-19 07:27:00+00:00,high
ILL17,2018-06-11 03:54:00+00:00,2018-06-11 14:57:00+00:00,high
ILL17,2018-06-12 17:19:00+00:00,2018-06-12 19:52:00+00:00,high
ILL17,2018-07-25 16:47:00+00:00,2018-07-25 17:29:00+00:00,high
ILL17,2018-08-08 17:42:00+00:00,2018-08-08 17:58:00+00:00,high
ILL17,2019-06-10 17:10:00+00:00,2019-06-10 18:31:00+00:00,low
ILL17,2019-06-10 21:41:00+00:00,2019-06-10 23:00:00+00:00,low
ILL17,2019-06-21 19:26:00+00:00,2019-06-21 20:16:00+00:00,high
ILL17,2019-06-21 21:05:00+00:00,2019-06-21 21:05:00+00:00,rockfall
ILL17,2019-07-01 17:33:00+00:00,2019-07-01 17:34:00+00:00,earthquake
ILL17,2019-07-01 22:54:00+00:00,2019-07-02 00:07:00+00:00,high
ILL17,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
ILL17,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
ILL17,2019-07-02 22:00:00+00:00,2019-07-02 22:29:00+00:00,high
ILL17,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
ILL17,2019-07-15 03:29:00+00:00,2019-07-15 03:55:00+00:00,med
ILL17,2019-07-26 17:26:00+00:00,2019-07-26 18:18:00+00:00,high
